grid_mw_index,grid_logp_index,MW,LogP,logKp_cm_h,is_synthetic_physics_augmented,physics_source
2,1,165.3582777777778,-0.47651888888888905,-4.047013905555556,True,descriptors.py::potts_guy_baseline
2,2,165.3582777777778,0.13210222222222212,-3.6148929166666672,True,descriptors.py::potts_guy_baseline
2,3,165.3582777777778,0.7407233333333332,-3.182771927777778,True,descriptors.py::potts_guy_baseline
2,4,165.3582777777778,1.3493444444444445,-2.7506509388888896,True,descriptors.py::potts_guy_baseline
2,5,165.3582777777778,1.9579655555555557,-2.3185299500000003,True,descriptors.py::potts_guy_baseline
2,6,165.3582777777778,2.566586666666667,-1.8864089611111114,True,descriptors.py::potts_guy_baseline
2,7,165.3582777777778,3.1752077777777785,-1.454287972222222,True,descriptors.py::potts_guy_baseline
2,8,165.3582777777778,3.7838288888888894,-1.0221669833333336,True,descriptors.py::potts_guy_baseline
2,9,165.3582777777778,4.39245,-0.5900459944444447,True,descriptors.py::potts_guy_baseline
3,0,203.3215166666667,-1.0851400000000002,-4.710710651666667,True,descriptors.py::potts_guy_baseline
3,1,203.3215166666667,-0.47651888888888905,-4.278589662777778,True,descriptors.py::potts_guy_baseline
3,2,203.3215166666667,0.13210222222222212,-3.8464686738888894,True,descriptors.py::potts_guy_baseline
3,3,203.3215166666667,0.7407233333333332,-3.4143476850000005,True,descriptors.py::potts_guy_baseline
3,4,203.3215166666667,1.3493444444444445,-2.9822266961111117,True,descriptors.py::potts_guy_baseline
3,5,203.3215166666667,1.9579655555555557,-2.5501057072222224,True,descriptors.py::potts_guy_baseline
3,6,203.3215166666667,2.566586666666667,-2.117984718333334,True,descriptors.py::potts_guy_baseline
3,7,203.3215166666667,3.1752077777777785,-1.6858637294444443,True,descriptors.py::potts_guy_baseline
3,8,203.3215166666667,3.7838288888888894,-1.253742740555556,True,descriptors.py::potts_guy_baseline
3,9,203.3215166666667,4.39245,-0.8216217516666671,True,descriptors.py::potts_guy_baseline
4,0,241.2847555555556,-1.0851400000000002,-4.942286408888889,True,descriptors.py::potts_guy_baseline
4,1,241.2847555555556,-0.47651888888888905,-4.510165420000001,True,descriptors.py::potts_guy_baseline
4,2,241.2847555555556,0.13210222222222212,-4.0780444311111115,True,descriptors.py::potts_guy_baseline
4,3,241.2847555555556,0.7407233333333332,-3.645923442222223,True,descriptors.py::potts_guy_baseline
4,4,241.2847555555556,1.3493444444444445,-3.213802453333334,True,descriptors.py::potts_guy_baseline
4,5,241.2847555555556,1.9579655555555557,-2.781681464444445,True,descriptors.py::potts_guy_baseline
4,6,241.2847555555556,2.566586666666667,-2.349560475555556,True,descriptors.py::potts_guy_baseline
4,7,241.2847555555556,3.1752077777777785,-1.9174394866666666,True,descriptors.py::potts_guy_baseline
4,8,241.2847555555556,3.7838288888888894,-1.4853184977777782,True,descriptors.py::potts_guy_baseline
4,9,241.2847555555556,4.39245,-1.0531975088888894,True,descriptors.py::potts_guy_baseline
5,0,279.2479944444445,-1.0851400000000002,-5.173862166111112,True,descriptors.py::potts_guy_baseline
5,1,279.2479944444445,-0.47651888888888905,-4.741741177222223,True,descriptors.py::potts_guy_baseline
5,2,279.2479944444445,0.13210222222222212,-4.309620188333334,True,descriptors.py::potts_guy_baseline
5,3,279.2479944444445,0.7407233333333332,-3.877499199444445,True,descriptors.py::potts_guy_baseline
5,4,279.2479944444445,1.3493444444444445,-3.4453782105555564,True,descriptors.py::potts_guy_baseline
5,5,279.2479944444445,1.9579655555555557,-3.0132572216666675,True,descriptors.py::potts_guy_baseline
5,6,279.2479944444445,2.566586666666667,-2.5811362327777783,True,descriptors.py::potts_guy_baseline
5,7,279.2479944444445,3.1752077777777785,-2.149015243888889,True,descriptors.py::potts_guy_baseline
5,8,279.2479944444445,3.7838288888888894,-1.7168942550000006,True,descriptors.py::potts_guy_baseline
5,9,279.2479944444445,4.39245,-1.2847732661111118,True,descriptors.py::potts_guy_baseline
6,0,317.2112333333334,-1.0851400000000002,-5.405437923333334,True,descriptors.py::potts_guy_baseline
6,1,317.2112333333334,-0.47651888888888905,-4.973316934444445,True,descriptors.py::potts_guy_baseline
6,2,317.2112333333334,0.13210222222222212,-4.541195945555556,True,descriptors.py::potts_guy_baseline
6,3,317.2112333333334,0.7407233333333332,-4.109074956666667,True,descriptors.py::potts_guy_baseline
6,4,317.2112333333334,1.3493444444444445,-3.6769539677777785,True,descriptors.py::potts_guy_baseline
6,5,317.2112333333334,1.9579655555555557,-3.2448329788888897,True,descriptors.py::potts_guy_baseline
6,6,317.2112333333334,2.566586666666667,-2.8127119900000004,True,descriptors.py::potts_guy_baseline
6,7,317.2112333333334,3.1752077777777785,-2.380591001111111,True,descriptors.py::potts_guy_baseline
6,8,317.2112333333334,3.7838288888888894,-1.9484700122222227,True,descriptors.py::potts_guy_baseline
6,9,317.2112333333334,4.39245,-1.5163490233333339,True,descriptors.py::potts_guy_baseline
7,0,355.1744722222223,-1.0851400000000002,-5.637013680555556,True,descriptors.py::potts_guy_baseline
7,1,355.1744722222223,-0.47651888888888905,-5.204892691666667,True,descriptors.py::potts_guy_baseline
7,2,355.1744722222223,0.13210222222222212,-4.772771702777778,True,descriptors.py::potts_guy_baseline
7,3,355.1744722222223,0.7407233333333332,-4.3406507138888895,True,descriptors.py::potts_guy_baseline
7,4,355.1744722222223,1.3493444444444445,-3.9085297250000006,True,descriptors.py::potts_guy_baseline
7,5,355.1744722222223,1.9579655555555557,-3.476408736111112,True,descriptors.py::potts_guy_baseline
7,6,355.1744722222223,2.566586666666667,-3.0442877472222225,True,descriptors.py::potts_guy_baseline
7,7,355.1744722222223,3.1752077777777785,-2.6121667583333332,True,descriptors.py::potts_guy_baseline
7,8,355.1744722222223,3.7838288888888894,-2.180045769444445,True,descriptors.py::potts_guy_baseline
7,9,355.1744722222223,4.39245,-1.747924780555556,True,descriptors.py::potts_guy_baseline
8,0,393.1377111111112,-1.0851400000000002,-5.8685894377777785,True,descriptors.py::potts_guy_baseline
8,1,393.1377111111112,-0.47651888888888905,-5.43646844888889,True,descriptors.py::potts_guy_baseline
8,2,393.1377111111112,0.13210222222222212,-5.004347460000001,True,descriptors.py::potts_guy_baseline
8,3,393.1377111111112,0.7407233333333332,-4.572226471111112,True,descriptors.py::potts_guy_baseline
8,4,393.1377111111112,1.3493444444444445,-4.140105482222223,True,descriptors.py::potts_guy_baseline
8,5,393.1377111111112,1.9579655555555557,-3.707984493333334,True,descriptors.py::potts_guy_baseline
8,6,393.1377111111112,2.566586666666667,-3.2758635044444455,True,descriptors.py::potts_guy_baseline
8,7,393.1377111111112,3.1752077777777785,-2.843742515555556,True,descriptors.py::potts_guy_baseline
8,8,393.1377111111112,3.7838288888888894,-2.4116215266666674,True,descriptors.py::potts_guy_baseline
8,9,393.1377111111112,4.39245,-1.9795005377777786,True,descriptors.py::potts_guy_baseline
9,0,431.10095000000007,-1.0851400000000002,-6.100165195000001,True,descriptors.py::potts_guy_baseline
9,1,431.10095000000007,-0.47651888888888905,-5.668044206111112,True,descriptors.py::potts_guy_baseline
9,2,431.10095000000007,0.13210222222222212,-5.235923217222223,True,descriptors.py::potts_guy_baseline
9,3,431.10095000000007,0.7407233333333332,-4.803802228333334,True,descriptors.py::potts_guy_baseline
9,4,431.10095000000007,1.3493444444444445,-4.371681239444445,True,descriptors.py::potts_guy_baseline
9,5,431.10095000000007,1.9579655555555557,-3.939560250555556,True,descriptors.py::potts_guy_baseline
9,6,431.10095000000007,2.566586666666667,-3.5074392616666676,True,descriptors.py::potts_guy_baseline
9,7,431.10095000000007,3.1752077777777785,-3.075318272777778,True,descriptors.py::potts_guy_baseline
9,8,431.10095000000007,3.7838288888888894,-2.6431972838888895,True,descriptors.py::potts_guy_baseline
9,9,431.10095000000007,4.39245,-2.2110762950000007,True,descriptors.py::potts_guy_baseline
