claim,source_file,source_value,expected_paper_token,paper_token_occurrences,status,details
Six-drug LODO percentage RandomForest pooled_rmse,phase4b_lodo_performance.csv,25.71766396734407,25.718,1,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO percentage RandomForest pooled_mae,phase4b_lodo_performance.csv,15.580351828963598,15.580,1,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO percentage XGBoost pooled_r2,phase4b_lodo_performance.csv,-0.1394699203101614,-0.139,1,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO percentage XGBoost pooled_rmse,phase4b_lodo_performance.csv,26.94759987049662,26.948,1,PASS,Pooled six-drug leave-one-drug-out metric.
Six-drug LODO percentage XGBoost pooled_mae,phase4b_lodo_performance.csv,15.581359520159072,15.581,1,PASS,Pooled six-drug leave-one-drug-out metric.
XGBoost LODO lidocaine pooled_rmse,phase4b_lodo_fold_metrics.csv,7700.964641788612,"7,700.965",1,PASS,Per-held-out-drug amount diagnostic.
XGBoost LODO copper ions pooled_rmse,phase4b_lodo_fold_metrics.csv,132.33992021776083,132.340,1,PASS,Per-held-out-drug amount diagnostic.
XGBoost LODO Rhodamine B pooled_rmse,phase4b_lodo_fold_metrics.csv,141.83960955566437,141.840,1,PASS,Per-held-out-drug amount diagnostic.
Transfer amount seven_feature_small_molecules_only MLR R2,phase4b_transfer_lodo_performance.csv,-0.4839160948142216,-0.484,1,PASS,Four-small-molecule LODO amount result.
Transfer amount seven_feature_small_molecules_only RandomForest R2,phase4b_transfer_lodo_performance.csv,-0.4755493223529812,-0.476,1,PASS,Four-small-molecule LODO amount result.
Transfer amount seven_feature_small_molecules_only XGBoost R2,phase4b_transfer_lodo_performance.csv,-0.1899312766400018,-0.190,2,PASS,Four-small-molecule LODO amount result.
Transfer amount eight_feature_transfer_small_molecules_only MLR R2,phase4b_transfer_lodo_performance.csv,-1.4014784414503776,-1.401,1,PASS,Four-small-molecule LODO amount result.
Transfer amount eight_feature_transfer_small_molecules_only RandomForest R2,phase4b_transfer_lodo_performance.csv,-0.4929395724640062,-0.493,1,PASS,Four-small-molecule LODO amount result.
Transfer amount eight_feature_transfer_small_molecules_only XGBoost R2,phase4b_transfer_lodo_performance.csv,-0.1899312766400018,-0.190,2,PASS,Four-small-molecule LODO amount result.
Transfer eight-feature XGBoost pooled_rmse,phase4b_transfer_lodo_performance.csv,5678.075255019385,"5,678.075",1,PASS,Four-small-molecule LODO amount result.
Transfer eight-feature XGBoost pooled_mae,phase4b_transfer_lodo_performance.csv,2759.965244645471,"2,759.965",1,PASS,Four-small-molecule LODO amount result.
Bias mitigation baseline_7feature_amount_XGBoost pooled_r2,phase4b_bias_mitigation_performance.csv,-0.1217845604880933,-0.122,5,PASS,Six-drug LODO amount comparison.
Bias mitigation baseline_7feature_amount_XGBoost pooled_rmse,phase4b_bias_mitigation_performance.csv,4777.6734605584425,"4,777.673",4,PASS,Six-drug LODO amount comparison.
Bias mitigation baseline_7feature_amount_XGBoost learned_component_loading_importance,phase4b_bias_mitigation_performance.csv,0.6246158080053571,0.625,2,PASS,Six-drug LODO amount comparison.
Bias mitigation percentage_first_no_loading_XGBoost pooled_r2,phase4b_bias_mitigation_performance.csv,0.0275791166000101,0.028,2,PASS,Six-drug LODO amount comparison.
Bias mitigation percentage_first_no_loading_XGBoost pooled_rmse,phase4b_bias_mitigation_performance.csv,4448.246780107805,"4,448.247",2,PASS,Six-drug LODO amount comparison.
Bias mitigation percentage_first_no_loading_XGBoost learned_component_loading_importance,phase4b_bias_mitigation_performance.csv,0.0,0.000,1,PASS,Six-drug LODO amount comparison.
Physics augmentation experimental_only_two_descriptor pooled_r2,phase4b_physics_augmentation_metrics.csv,0.3115326385218906,0.312,2,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics augmentation experimental_only_two_descriptor pooled_rmse,phase4b_physics_augmentation_metrics.csv,0.9672201872322332,0.967,5,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics augmentation experimental_only_two_descriptor pooled_mae,phase4b_physics_augmentation_metrics.csv,0.7167540667324421,0.717,1,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics augmentation experimental_only_two_descriptor n_synthetic_points_available_per_training_fold,phase4b_physics_augmentation_metrics.csv,0,0,219,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics augmentation physics_augmented_two_descriptor pooled_r2,phase4b_physics_augmentation_metrics.csv,0.276675937217067,0.277,2,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics augmentation physics_augmented_two_descriptor pooled_rmse,phase4b_physics_augmentation_metrics.csv,0.9914027760327598,0.991,1,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics augmentation physics_augmented_two_descriptor pooled_mae,phase4b_physics_augmentation_metrics.csv,0.7316995462190323,0.732,1,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics augmentation physics_augmented_two_descriptor n_synthetic_points_available_per_training_fold,phase4b_physics_augmentation_metrics.csv,100,100,8,PASS,Experimental test rows only; synthetic rows are separately flagged.
Physics synthetic point count,phase4b_physics_augmented_points.csv,100,100,8,PASS,Rows generated by Potts–Guy grid.
Physics synthetic flag,phase4b_physics_augmented_points.csv,true,is_synthetic_physics_augmented=True,1,PASS,All pseudo-points must retain explicit true flag.
4A SHAP LogP,phase5_shap_4a_feature_importance.csv,0.3499802258387904,0.350,1,PASS,Mean absolute TreeSHAP value.
4A SHAP MW,phase5_shap_4a_feature_importance.csv,0.3078163908838042,0.308,1,PASS,Mean absolute TreeSHAP value.
4A SHAP MolarRefractivity,phase5_shap_4a_feature_importance.csv,0.1979935536907428,0.198,1,PASS,Mean absolute TreeSHAP value.
4A SHAP HBD,phase5_shap_4a_feature_importance.csv,0.177263883749789,0.177,1,PASS,Mean absolute TreeSHAP value.
4A SHAP TPSA,phase5_shap_4a_feature_importance.csv,0.1573929461578742,0.157,1,PASS,Mean absolute TreeSHAP value.
4B SHAP Drug loading in MN patch (µg),phase5_shap_4b_feature_importance.csv,3112.8417436689606,"3,112.842",1,PASS,Mean absolute TreeSHAP value.
4B SHAP Permeation time (hour),phase5_shap_4b_feature_importance.csv,1693.7558416396537,"1,693.756",1,PASS,Mean absolute TreeSHAP value.
4B SHAP Drug MW (Dalton),phase5_shap_4b_feature_importance.csv,111.5232330342238,111.523,1,PASS,Mean absolute TreeSHAP value.
Cosmetic predicted minimum,phase5_cosmetic_4a_predictions.csv,-4.9260785184886995,-4.926,1,PASS,4A screening only.
Cosmetic predicted maximum,phase5_cosmetic_4a_predictions.csv,-1.2232357148143913,-1.223,1,PASS,4A screening only.
Cosmetic predicted mean,phase5_cosmetic_4a_predictions.csv,-3.224117519099497,-3.224,1,PASS,4A screening only.
Cosmetic predicted median,phase5_cosmetic_4a_predictions.csv,-3.312184805220047,-3.312,1,PASS,4A screening only.
Cosmetic MN prediction count,phase5_cosmetic_4a_predictions.csv,0,is_microneedle_prediction=False,1,PASS,All cosmetics must remain 4A-only outputs.
Cosmetic category median penetration_enhancer,phase5_cosmetic_category_summary.csv,-2.221510173732351,-2.222,1,PASS,Descriptive 4A category summary.
Cosmetic category median anti_aging_retinoid,phase5_cosmetic_category_summary.csv,-4.3425052896186855,-4.343,1,PASS,Descriptive 4A category summary.
Cosmetic in-training structural overlaps,phase5_cosmetic_training_overlap.csv,4,4,179,PASS,This count is explicitly not external validation.
Paper states no cosmetic 4B use,paper.md,no cosmetic ingredient was passed through a 4B MN model,no cosmetic ingredient was passed through a 4B MN model,1,PASS,Boundary statement required by the implementation instructions.
Paper labels Fick limitation,paper.md,not an exact reimplementation of the original C solver,not an exact reimplementation of the original C solver,1,PASS,Boundary statement required by the implementation instructions.
Paper labels in-training cosmetic overlap,paper.md,rather than an external validation set,rather than an external validation set,1,PASS,Boundary statement required by the implementation instructions.
